;Pesquisador;Título;;;;;;;;;;;;;;;;;;;;;;;
23;Emanoel Fabiano Menezes Pereira;A INTERAÇÃO DE ASPECTOS INTUITIVOS, ALGORÍTIMICOS E FORMAIS NA RESOLUÇÃO DE QUESTÕES SOBRE SEMELHANÇA DE TRIÂNGULOS DIFICULDADES APRESENTADAS POR INGRESSANTES NO ENSINO MÉDIO SOBRE A SOMA DOS ÂNGULOS INTERNOS DE UM TRIÂNGULO DIFICULDADES APRESENTADAS POR INGRESSANTES NO ENSINO MÉDIO SOBRE NÚMEROS RACIONAIS DIFICULDADES DE INGRESSANTES NO ENSINO MÉDIO NA ANÁLISE DE GRÁFICOS DE FUNÇÕES Ensinando frações com o auxílio do Tangram interação de aspectos algorítmicos, intuitivos e formais na resolução de questões sobre áreas e perímetros O DESENVOLVIMENTO DOS TRÊS MUNDOS DA MATEMÁTICA NO ESTUDO DE FUNÇÕES TRIGONOMÉTRICAS COM O GEOGEBRA O USO DO GEOGEBRA 3D NO ESTUDO DE POLIEDROS E SUAS PROPRIEDADES: UMA INVESTIGAÇÃO COM PROFESSORES DE MATEMÁTICA EM FORMAÇÃO INICIAL O Uso do GeoGebra Classroom na Elaboração de Conjecturas no Estudo de Funções Trigonométricas: uma Investigação com Licenciandos em Matemática O uso do smartphone na investigação sobre definições de losango Potencialidades envolvidas em uma atividade investigativa sobre Geometrias Plana e Espacial com o uso do GeoGebra 3D Sobre dificuldades de ingressantes no ensino médio na compreensão de números racionais Uma análise da resolução de questões sobre o Teorema de Pitágoras Uma análise das dificuldades de ingressantes no Ensino Médio na resolução de questões sobre área e perímetro. Uma análise de resoluções elaboradas por ingressantes no Ensino Médio de uma questão sobre o Teorema de Pitágoras. UMA ANÁLISE DO USO DO GEOGEBRA NO ESTUDO DO GRÁFICO DA FUNÇÃO ??(??) = ?? ? ?????? (??) UMA ANÁLISE DO USO DO GEOGEBRA NO ESTUDO DO GRÁFICO DA FUNÇÃO g(x) = c + cos(x) UMA INVESTIGAÇÃO DO USO DO GEOGEBRA 3D NO ESTUDO DE PROPRIEDADES DE POLIEDROS USO DO CELULAR INTELIGENTE (SMARTPHONE) NA ELABORAÇÃO DE CONJECTURAS E PROVAS EM GEOMETRIA: AVALIANDO POSSIBILIDADES E LIMITAÇÕES USO DO CELULAR INTELIGENTE (SMARTPHONE) NA ELABORAÇÃO DE CONJECTURAS E PROVAS EM GEOMETRIA: AVALIANDO POSSIBILIDADES E LIMITAÇÕES USO DO CELULAR INTELIGENTE (SMARTPHONE) NA ELABORAÇÃO DE CONJECTURAS E PROVAS EM GEOMETRIA: AVALIANDO POSSIBILIDADES E LIMITAÇÕES. USO DO CELULAR INTELIGENTE (SMARTPHONE) NOS PROCESSOS DE ENSINO E DE APRENDIZAGEM DE GEOMETRIA ESPACIAL NO ENSINO MÉDIO: AVALIANDO POSSIBILIDADES E LIMITAÇÕES Uso do GeoGebra na construção de definições de quadriláteros Uso do smartphone na construção de definições de quadrado Uso do smartphone na construção de definições de trapézio Uso do smartphone na investigação sobre propriedades de quadriláteros notáveis;;;;;;;;;;;;;;;;;;;;;;;
24;Eudes Müller D'Oliveira Santos;Comparative study of thermal calculations of an Otto cycle internal combustion engine with results of experimental tests Dimensionamento de um Sistema de Alta Temperatura Utilizando Energia Solar e um Sistema Auxiliar para Processos de Pirólise TECHNICAL AND ECONOMIC ANALYSIS OF A COGENERATION PLANT FOR A BRAZILIAN SCENARIO;;;;;;;;;;;;;;;;;;;;;;;
25;Eufrida Pereira da Silva;#NOME? 12o conict;;;;;;;;;;;;;;;;;;;;;;;
26;Everaldo Paulo da Silva;CÁLCULO EM MATEMÁTICA: UM ASSUNTO PARA O ENSINO EM GERAL OU ESPECÍFICO PARA O ENSINO TÉCNICO;;;;;;;;;;;;;;;;;;;;;;;
27;Fabio Oliveira Teixeira;A Modelagem Computacional Como Recurso Educacional Para o Estudo do Câncer A Modelagem Computacional no Processo de Aprendizagem de Doenças como o Câncer Pulmonar A Propagação de Informações Sobre o Câncer em Escolas Aplicação de visão computacional para o monitoramento do uso de máscaras de proteção Aplicación de inteligencia artificial para monitorear el uso de mascarillas de protección HIPERMÍDIAS PARA O ENSINO DE ENFERMAGEM EM AMBIENTE DIGITAL DE APRENDIZAGEM Identificação de manifestações de Clientes de instituições bancárias em redes sociais utilizando inteligência artificial Inteligência Artificial para a Farmacovigilância em postagens no Twitter relacionadas a Antidepressivos Sentiment Analysis of Twitter?s Health Messages in Brazilian Portuguese Uso de técnicas da inteligência artificial para reconhecer menções de RAMs em postagens no Twitter;;;;;;;;;;;;;;;;;;;;;;;
28;Felipe Alexandre Cardoso Pazinatto;Aplicativo para o projeto social Saco Verde DESAFIOS NA GESTÃO DA SEGURANÇA CIBERNÉTICA: O PAPEL ESTRATÉGICO DO GESTOR DE TECNOLOGIA NA ERA DA COMPUTAÇÃO EM NUVEMCHALLENGES IN CYBERSECURITY MANAGEMENT: THE STRATEGIC ROLE OF THE TECHNOLOGY MANAGER IN THE ERA OF CLOUD COMPUTINGDESAFIOS NA GESTÃO DA SEGURANÇA CIBERNÉTICA - O PAPEL ESTRATÉGICO DO GESTOR DE TECNOLOGIA NA ERA DA COMPUTAÇÃO EM NUVEMDESAFÍOS EN LA GESTIÓN DE CIBERSEGURIDAD: EL ROL DESENVOLVIMENTO DE PROTÓTIPO DE SISTEMA PARA AGENDAMENTO DE ALMOÇO PARA O INSTITUTO FEDERAL DE SÃO PAULO CAMPUS BOITUVA Jogos de computadores como arte digital e a expressão sentimental do artista. Um estudo de caso a respeito do jogo ?Sky: Children of the Light?;;;;;;;;;;;;;;;;;;;;;;;
29;Felipe Rodrigues Martinez Basile;AACVOX: mobile application for augmentative alternative communication to help people with speech disorder and motor impairment AMAAI: Aplicativo Mobile de Assistência às atividades diárias do Idoso Desarrollo colaborativo en Telemedicina y Telesalud para la Educación, la atención y la investigación: Estudio de caso Lab.Sh-Brasil - Tigum-Colombia Desenvolvimento de arquitetura de plataforma virtual para apoio ao exame de Monitorização Ambulatorial de Pressão Arterial Escrita para terceira idade com uso de tecnologias digitais: Relato de experiência Estratégia de Comunicação Síncrona para interatividade e construção do conhecimento na perspectiva do mundo Pós-Covid-19: Relato de Experiência Estrategia formativa en defensa digital para adolescentes: experiencia en el Instituto Federal de São Paulo. Estrategia Interdisciplinar en Investigación en Telesalud con el Uso de Videoconferencia Forense Computacional como estratégia para investigação estratégia de investigação em crimes cibernéticos La robótica creativa para el desarrollo de la cultura Maker inclusiva en la enseñanza fundamental: caso Escuela Municipal de Capistrano de Abreu, en São Paulo, Brasil Meta Heuristic for WDM Optical Networks Without Wavelength Conversion Método para realizar copias de seguridad de imágenes médicas basado en tareas automatizadas Percepción Social de las Tecnologías Electromagnéticas PERCEPÇÕES DA APLICAÇÃO DO PROJETO -EMPODERAMENTO FEMININO ATRAVÉS DA GERAÇÃO DE RENDA PELAS VENDAS- Protocolo de informática forense ante ciberincidentes en telemedicina para preservar información como primera respuesta Tecnologías y Educación: Su Percepción Social En Santiago de Chile;;;;;;;;;;;;;;;;;;;;;;;
30;Fernando Cesar Mendonca;A simulação como ferramenta didática para o curso de Engenharia de Produção Acessibilidade e Legislação no Brasil ? Um estudo na CPTM ANÁLISE DE ESTOQUE: O CASO DOS PALETES EM UMA EMPRESA DE PAPEL E CELULOSE Ferramentas do Marketing Digital como Estratégia de Consolidação de Marca: Um Estudo Sobre C6 Bank Filosofia Lean em serviços - uma revisão bibliográfica Fusões e Aquisições no Setor Bancário: Estudo de Eventos na Década Marcada pela Crise no Sistema Financeiro Internacional (2001 A 2011) Gestão de Documentos e a sua Importância no Gerenciamento de Projetos METODOLOGIA DE SELEÇÃO DE FORNECEDORES EM UMA MICROEMPRESA DO RAMO COMERCIAL UTILIZANDO O METODO AHP Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea Transporte Rodoviário: os principais riscos ocupacionais no cotidiano dos motoristas de caminhão;;;;;;;;;;;;;;;;;;;;;;;
31;Fernando Luis Rossi;A implantação da gestão de facilities em um Centro de Distribuição: um estudo de caso A new efficient heuristic method for minimizing the total tardiness in a no-idle permutation flow shop A two-stage iterated greedy algorithm and a multi-objective constructive heuristic for the mixed no-idle flowshop scheduling problem to minimize makespan subject to total completion time ACESSIBILIDADE E LEGISLAÇÃO NO BRASIL ? UM ESTUDO NA CPTM An effective constructive heuristic for permutation flow shop scheduling problem with total flow time criterion An objective review and perspectives on the permutation flowshop scheduling with no-wait constraint and setup times Beam search-based heuristics for the mixed no-idle flowshop with total flowtime criterion ECONOMIA CIRCULAR E POLÍTICAS PÚBLICAS: LEGISLAÇÃO E DESAFIOS Economia Circular no Brasil: Estudo de caso em um Centro de Recondicionamento de Computadores ECONOMIA CIRCULAR: CONCEITOS E PERSPECTIVAS NA SOCIEDADE CONTEMPORÂNEA Evaluation of high performance constructive heuristics for the flow shop with makespan minimization FERRAMENTAS DO MARKETING DIGITAL COMO ESTRATÉGIA DE CONSOLIDAÇÃO DE MARCA: UM ESTUDO SOBRE C6 BANK GESTÃO DE DOCUMENTOS E A SUA IMPORTÂNCIA NO GERENCIAMENTO DE PROJETOS Heuristics and Iterated Greedy Algorithms for the Distributed Mixed No-idle Flowshop With Sequence-Dependent Setup Times Heuristics and metaheuristics for the mixed no-idle flowshop with sequence-dependent setup times and total tardiness minimisation Heuristics for the mixed no-idle flowshop with sequence-dependent setup times Heuristics for the mixed no-idle flowshop with sequence-dependent setup times and total flowtime criterion High-performing heuristics to minimize flowtime in no-idle permutation flowshop Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea PROJETO CATANDO HISTÓRIAS?INTEGRANDO O CONHECIMENTO SOBRE LOGÍSTICA REVERSA COM A HISTÓRIA DA CIDADE DE SÃO PAULO RISCO ENERGÉTICO NAS CIDADES: AUMENTANDO A RESILIÊNCIA PELO CONTROLE DAS OPERAÇÕES;;;;;;;;;;;;;;;;;;;;;;;
32;Fernando da Silva Pardo;(Shadow of) The Raven: uma adaptação intermidiática da literatura para a música A autoetnografia em pesquisas em Linguística Aplicada: reflexões do sujeito pesquisador/pesquisado. Decolonialidade e ensino de línguas: perspectivas e desafios para a construção do conhecimento corporificado no cenário político atual Discursos de ódio e liberdade de expressão em ambientes digitais: implicações sociais e legais Epistemologias digitais, cibercultura e a construção de relatos pessoais multimodais no ensino e aprendizagem de língua inglesa Literatura e(m) mídias: práticas pedagógicas (in)disciplinadas? O ENSINO DE INGLÊS NOS ANOS INICIAIS DA ESCOLA PÚBLICA: POR QUÊ? PARA QUÊ? PARA QUEM? OBSERVAÇÕES E ANÁLISES SOBRE O ENSINO DE INGLÊS NO ENSINO FUNDAMENTAL-I PÚBLICO: diálogos entre professor e alunos;;;;;;;;;;;;;;;;;;;;;;;
