;Pesquisador;Título;;;;;;;;;;;;;;;;;;;;;;;
63;Patrícia Cristiane Santana da Silva;CARACTERIZAÇÃO E AVALIAÇÃO ESPAÇO-TEMPORAL DAS ÁREAS VERDES INTRODUZIDAS PELA ARBORIZAÇÃO NO IFSP - CÂMPUS SÃO PAULO PIRITUBA Characterization and tribologic study in high vacuum of hydrogenated DLC films deposited using pulsed DC PECVD system for space applications DLC Films Grown On Steel Using An Innovator Active Screen System For PECVD Technique Improvement of the properties and the adherence of DLC coatings deposited using a modified pulsed-DC PECVD technique and an additional cathode;;;;;;;;;;;;;;;;;;;;;;;
64;Paulo Eduardo Pissardini;A INDÚSTRIA 4.0 COMO PARADIGMA ESTRATÉGICO DA GESTÃO DE MANUFATURA (PEGEM) E SEU ALINHAMENTO COM O PLANEJAMENTO E CONTROLE DA PRODUÇÃO (PCP) A Influência Do Cuidador No Tratamento A Partir Do Uso da Cannabis Sativa Em Idosos Portadores da Doença de Alzheimer A Organização do Trabalho na Quarta Revolução Industrial: Perspectivas futuras a partir de uma abordagem Sociotécnica Capabilidades dos Smart Industrial Products: Uma Revisão Sistemática de Literatura Compreendendo a Sustentabilidade e o Comportamento do Consumidor na Indústria TêxtilUnderstanding Sustainability and Consumer Behavior in the Textile Insustry EFICIÊNCIA DA LOGÍSTICA DE ENTREGA: UMA PERSPECTIVA A PARTIR DO USO DA PESQUISA OPERACIONAL Gestão da Qualidade Agroalimentar: Um Estudo de Caso em uma empresa produtora de café em Matão - SP Hard Skills Required for Project Management in the Post-Pandemic Era: COVID-19 Contributions in Changing Professional Profile Hard Skills Required for Project Managers in the Post-Pandemic Period: COVID-19 Contributions in Changing Professional Profile Hierarquia Condicional entre elementos do pilar Capacitadores na Arquitetura Funcional do PCP da Indústria 4.0 Implantação de um modelo de qualidade de software em uma empresa de Tecnologia da Informação (TI) na cidade de Maringá - PR Indústria 4.0 como Paradigma Estratégico de Gestão de Manufatura e seu alinhamento com o Planejamento e Controle de Produção Logística reversa e sustentabilidade: Uma survey que adapta e valida direcionadores teóricos para consumidores de produtos têxteis da região de São Paulo Modelagem de Negócio utilizando o Business Model Generation (Canvas) na construção de uma startup de Gestão Eletrônica de Documentos (GED) para transportadores de carga terrestres O Planejamento e Controle da Produção na Indústria 4.0 e seu alinhamento com os Paradigmas Estratégicos de Gestão da Manufatura RFID and Industry 4.0: The technology's Role on Shop Floor Control Operationalization RFID in Industry 4.0: The technology's Role in Shop Floor Control Operationalisation Sistema de Coordenação de Ordens para a Indústria 4.0: Proposta de uma Arquitetura para implantação Smart Industrial Products' Role in achieving Cross-functional Integration: Information Processing Theory Lens for an unified framework Smart industrial products’ role in industry 4.0: from a strategic paradigm of manufacturing management towards new holonic manufacturing system Smart-enhanced organisational functions: A framework comprising capabilities, barriers, and evolutional path Um estudo sobre as barreiras da adoção de Smart Industrial Products (SIP);;;;;;;;;;;;;;;;;;;;;;;
65;Pedro Ernesto Schiavinatti Tavares;Dynamical evolution and decay of multi-charged quantum vortex in a Bose-Einstein condensate Energy cascade in a far-from-equilibrium inhomogeneous trapped Bose gas obtained by power spectrum analysis Exploring emergent heterogeneous phases in strongly repulsive Fermi gases Matter wave speckle observed in an out-of-equilibrium quantum fluid Quantum turbulence in trapped atomic Bose-Einstein condensates Thermodynamic measurement of the sound velocity of a Bose gas across the transition to Bose-Einstein condensation Time-Resolved Observation of Competing Attractive and Repulsive Short-Range Correlations in Strongly Interacting Fermi Gases Universal dynamics of a turbulent superfluid Bose gas;;;;;;;;;;;;;;;;;;;;;;;
66;Priscila Hanako Ishy de Magalhães;PARA ?SER COMO UM RIO?: notas sobre a literatura indígena como espaço de alteridade epistemológica;;;;;;;;;;;;;;;;;;;;;;;
67;Regivaldo Sousa Ferreira;A Study of The Market of Fat Ox and Corn in Bahia/Brazil Via Weighted Networks By -_DCCA Análise comparativa de técnicas de aprendizagem de máquina para classificação de materiais descartáveis ANÁLISE DE DADOS ABERTOS SOBRE EVASÃO ESCOLAR NOS INSTITUTOS FEDERAIS DE SÃO PAULO DESENVOLVIMENTO DE UMA APLICAÇÃO WEB PARA DIVULGAÇÃO DE CONTEÚDOS E FERRAMENTAS ACERCA DA CIBERSEGURANÇA DETECÇÃO DE ATAQUES DDOS POR MEIO DE APRENDIZADO DE MÁQUINA La realidad virtual como herramienta para la educación básica y profesional Mineração de dados de feedbacks de clientes por meio da apresentação de nuvem de palavras Sistema de monitoramento de biodigestores anaeróbicos por meio de plataformas embarcadas;;;;;;;;;;;;;;;;;;;;;;;
68;Reinaldo da Silva Caraça;Efeitos relativísticos sobre observadores uniformemente acelerados Second-order teleparallel gauge theory;;;;;;;;;;;;;;;;;;;;;;;
69;Renato Cristiano Montanher;Complex World: um jogo para auxiliar o aprendizado de inglês como segunda língua utilizando a abordagem pedagógica do Pensamento Complexo Estratégia de Comunicação Síncrona para interatividade e construção do conhecimento na perspectiva do mundo Pós-Covid-19: Relato de Experiência Juego digital para aprender inglés como segunda lengua utilizando el pensamiento complejo Revisão Sistemática sobre o uso de jogos no ensino de língua estrangeira Uso de chatbots para o ensino de línguas estrangeiras: uma revisão da literatura;;;;;;;;;;;;;;;;;;;;;;;
70;Renato Marcon Pugliese;A história da física e a física escolar: incoerências entre a ciência e o ensino. Autonomia do trabalho docente no Instituto Federal de São Paulo: carreira, reflexões e dilemas atuais Da transferência de recursos públicos para o setor privado: a contrarreforma do ensino médio no Brasil O novo ciclo de reformas educacionais no Brasil e suas implicações sobre o trabalho docente O trabalho do professor de Física no ensino médio: um retrato da realidade, da vontade e da necessidade nos âmbitos socioeconômico e metodológico OBSERVATÓRIO DE POLÍTICAS PÚBLICAS: DISCUSSÕES SOBRE ACESSO E PERMANÊNCIA NA EDUCAÇÃO BÁSICA NO NOROESTE PAULISTANO Sobre o trabalho do professor de física no ensino médio: da realidade na cidade de São Paulo;;;;;;;;;;;;;;;;;;;;;;;
71;Ricardo Normanha Ribeiro de Almeida;A CENTRALIDADE DO TRABALHO EM DEBATE: NOTAS PARA UM BALANÇO HISTÓRICO E APONTAMENTOS PARA O PRESENTE E FUTURO DA LUTA DE CLASSES A flexibilidade por trás das câmeras: transformações na cadeia produtiva do cinema e os impactos no mercado de trabalho As políticas de expansão do Ensino Superior no Brasil e a formação em cinema e audiovisual Gênero e trabalho na produção cinematográfica da Globo Filmes Globo Filmes: possibilidades e limites para a indústria cinematográfica nacional MERCADO DE TRABALHO EM CINEMA E AUDIOVISUAL: A FLEXIBILIDADE DA ATIVIDADE ARTÍSTICA COMO PRECARIZAÇÃO DAS FORMAS DE TRABALHO Pensando o campo cinematográfico brasileiro a partir das contribuições de Pierre Bourdieu Relações de trabalho e gênero na produção cinematográfica da Globo Filmes Sob o domínio do capital: a precariedade do trabalho artístico nas indústrias culturais;;;;;;;;;;;;;;;;;;;;;;;
72;Rita Roberta Marioto;ESCRITA PARA TERCEIRA IDADE COM O USO DE TECNOLOGIAS DIGITAIS: RELATO DE EXPERIÊNCIA Linguística Aplicada e Epistemologia da Complexidade: correlações possíveis;;;;;;;;;;;;;;;;;;;;;;;
73;Roberta Caetano Fleira;A EMERGÊNCIA DO RACIOCÍNIO ALGÉBRICO: MEDIANDO A RESOLUÇÃO DE EQUAÇÕES POLINOMIAIS DO 1ºGRAU PARA UM ALUNO AUTISTA A EMPATIA COMO RESULTADO DA SENSIBILIZAÇÃO E CONSCIENTIZAÇÃO DO DIREITO DAQUELE QUE NÃO É IGUAL A identidade inclusiva do professor de matemática como metamorfose humana A Identidade no contexto da Educação Matemática A inclusão de um aluno com TEA nas aulas de Matemática: as vozes dos envolvidos AS AUTORREFLEXÕESDAQUELES ENVOLVIDOS NA INCLUSÃO DE APRENDIZES AUTISTAS NAS AULAS DE MATEMÁTICA As vozes daqueles envolvidos na inclusão de aprendizes autistas nas aulas de Matemática Aulas de matemática remotas e inclusivas: um pandemônio na vida do professor Ensinando Seus Pares: a inclusão de um aluno autista nas aulas de Matemática OS ALUNOS COM TRANSTORNO DO ESPECTRO AUTISTA NA PERSPECTIVA DA MATEMÁTICA ESCOLAR INCLUSIVA: UMA ANÁLISE DE TRABALHOS ACADÊMICOS PRÁTICAS DE ENSINO PARA A INCLUSÃO DE UM ALUNO AUTISTA NAS AULAS DE MATEMÁTICA Reflexões sobre os ENEMI?S nas versões presencial e a distância: um olhar para a Roda de Conversa RELAÇÕES ENTRE CONCEPÇÕES E PRÁTICAS DE PROFESSORES DE MATEMÁTICA EM CLASSES INCLUSIVAS;;;;;;;;;;;;;;;;;;;;;;;
74;Robson Barbosa;ACESSIBILIDADE E LEGISLAÇÃO NO BRASIL ? UM ESTUDO NA CPTM ECONOMIA CIRCULAR E POLÍTICAS PÚBLICAS: LEGISLAÇÃO E DESAFIOS Economia Circular no Brasil: Estudo de caso em um Centro de Recondicionamento de Computadores ECONOMIA CIRCULAR: CONCEITOS E PERSPECTIVAS NA SOCIEDADE CONTEMPORÂNEA FERRAMENTAS DO MARKETING DIGITAL COMO ESTRATÉGIA DE CONSOLIDAÇÃO DE MARCA: UM ESTUDO SOBRE C6 BANK Generation Z and technologies on museums ? Its influence on perceptions about Quality, Arousal and E-WOM Intentions GESTÃO DE DOCUMENTOS E A SUA IMPORTÂNCIA NO GERENCIAMENTO DE PROJETOS Internet of Things (IoT) in Urban Mobility: The Case of Bus Rapid Transit (BRT) of São José Dos Campos City MIGRANTES E REFUGIADOS: O CASO DO APLICATIVO MANUAL DO IMIGRANTE NA CIDADE DE SÃO PAULO O CENÁRIO DAS FAVELAS NO MUNICÍPIO DE SÃO PAULO O INSTRUMENTO DO MICROCRÉDITO: LEALDADE DO CLIENTE E IMPACTOS SOCIAIS OPERACIONALIZAÇÃO DO ATENDIMENTO NO PRONTO-SOCORRO: UM ESTUDO DE CASO EM UM HOSPITAL PÚBLICO-PRIVADO Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea POLÍTICAS EDUCACIONAIS NA PERSPECTIVA DA EDUCAÇÃO ESPECIAL: PROPOSTA DE UM PORTAL PARA GESTÃO DE ALTAS HABILIDADES E SUPERDOTAÇÃO RISCO ENERGÉTICO NAS CIDADES: AUMENTANDO A RESILIÊNCIA PELO CONTROLE DAS OPERAÇÕES TERCEIRIZAÇÃO DE FROTA;;;;;;;;;;;;;;;;;;;;;;;
75;Rogério Aparecido Campanari Xavier;La realidad virtual como herramienta para la educaciÃ³n bÃ¡sica y profesional;;;;;;;;;;;;;;;;;;;;;;;
76;Rogério Aparecido Pereira;<scp>lilacs</scp> search strategy for systematic reviews of diagnostic test accuracy studies;;;;;;;;;;;;;;;;;;;;;;;
77;Rogério Deitali Bruno;O processo de construção do PIBID 2018 no âmbito do curso de Licenciatura em Física do campus Registro do IFSP;;;;;;;;;;;;;;;;;;;;;;;
78;Romario Araujo Pinheiro;Diamond and Carbon Nanotube Composites for Supercapacitor Devices Graphene sheets produced by carbon nanotubes unzipping and their performance as supercapacitor Influence of catalyst particles on multi-walled carbon nanotubes morphology and structure Laser cladding of vanadium carbide interlayer for CVD diamond growth on steel substrate Methods to grow porous diamond film doped with boron and nitrogen by deposition on carbon nanotubes Porous boron-doped diamond/CNT electrode as electrochemical sensor for flow-injection analysis applications Synthesis and Characterization of Carbon Fiber Based Porous CNTs-RGO/BDD for Application as Microelectrodes Thin-film nanocomposites of BDD/CNT deposited on carbon fiber Unzipping of Multi-walled Carbon Nanotubes by Hydrogen Plasma Vertically aligned carbon nanotubes (VACNT) surfaces coated with polyethylene for enhanced dew harvesting Water vapor condensation and collection by super-hydrophilic and super-hydrophobic VACNTs Water Vapor Condensation from Atmospheric Air by Super-Hydrophobic VACNTs Growth on Stainless Steel Pipes Water Vapor Extraction from Humid Air by Super-Hydrophilic VACNTs Growth on Stainless Steel Screen;;;;;;;;;;;;;;;;;;;;;;;
79;Silene Jucelino de Lima;Contabilidade Básica. 2017. (Curso de curta duração ministrado/Extensão) Operacionalização do Atendimento no Pronto-Socorro: Um Estudo de Caso em um Hospital Público-Privado;;;;;;;;;;;;;;;;;;;;;;;
80;Tatiana Aparecida Picosque;Da morada áspera de Herberto Helder: residir e resistir contra Auschwitz Observatório de políticas públicas: discussões sobre acesso e permanência na educação básica no Noroeste paulistano;;;;;;;;;;;;;;;;;;;;;;;
81;Teresa Helena Buscato Martins;A adaptação de um curso de inglês do formato EAD para o formato semipresencial: relato de uma experiência com o curso e-Tec Idiomas de língua inglesa A trajetória da pesquisa e a produção do conhecimento no IFSP campus Pirituba ANÁLISE DO USO DA ORALIDADE E A VISÃO DE LÍNGUA/LINGUAGEM NOS LIVROS DIDÁTICOS PARA O ENSINO/APRENDIZAGEM DA LÍNGUA INGLESA Levantamento e análise de recursos linguísticos utilizados na área de investigações criminais Processo de Construção do Currículo de Referência em uma Instituição de Ensino;;;;;;;;;;;;;;;;;;;;;;;
82;Thiago Pedro Donadon Homem;A hybrid approach combining interior-point and branch-and-bound methods applied to the problem of sugar cane waste A hybrid approach to learn, retrieve and reuse qualitative cases A Robot Simulator Based on the Cross Architecture for the Development of Cognitive Robotics Aplicação de visão computacional para o monitoramento do uso de máscaras de proteção Aplicación de inteligencia artificial para monitorear el uso de mascarillas de protección Deep Reinforcement Learning for a Humanoid Robot Soccer Player Detecting Soccer Balls with Reduced Neural Networks Estratégia de Comunicação Síncrona para interatividade e construção do conhecimento na perspectiva do mundo Pós-Covid-19: Relato de Experiência Humanoid Robot Framework for Research on Cognitive Robotics Improving Reinforcement Learning Results with Qualitative Spatial Representation Object Detection under Constrained Hardware Scenarios: A Comparative Study of Reduced Convolutional Network Architectures PERCEPÇÕES DA APLICAÇÃO DO PROJETO -EMPODERAMENTO FEMININO ATRAVÉS DA GERAÇÃO DE RENDA PELAS VENDAS- Qualitative case-based reasoning and learning Retrieving and reusing qualitative cases: An application in humanoid-robot soccer Uma aplicação do método Q-learning na navegação de robôs móveis;;;;;;;;;;;;;;;;;;;;;;;
83;Thiago Silva Broze;APLICAÇÃO DA GESTÃO DE ESTOQUE: UM ESTUDO DE CASO EM UM BOTECO UTILIZANDO A CLASSIFICAÇÃO ABC Aplicação de modelo multicritério para priorização de alternativas em um hospital de Petrolina - PE Aplicação do design macroergonômico em linha de montagem de desktops As estratégias das universidades gaúchas no ecossistema de inovação do Estado do Rio Grande do Sul As estratégias dos stakeholders sob a ótica da inovação no ecossistema do estado de Santa Catarina As estratégias dos stakeholders sob a ótica da inovação no ecossistema do estado de SC DIAGNÓSTICO E REDUÇÃO DE PERDAS DE EMBALAGEM E REPROCESSO EM SUÍNOS ATRAVÉS DAS FERRAMENTAS DA QUALIDADE Diretrizes técnicas para a implementação do adicional de penosidade no ramo trabalhista brasileiro Fatores que influenciam o desenvolvimento de empresas incubadas do setor do agronegócio: Uma pesquisa de perspectiva Fatores que influenciam o desenvolvimento de empresas incubadas: uma pesquisa de perspectiva O papel dos parques científicos e tecnológicos no âmbito da inovação e no desenvolvimento do Estado do RS Política Pública de Incentivo à Criação de Trabalho e Renda em Estância Climática RISK ANALYSIS IN ENTERPRISES IN THE INCUBATION PHASE: a case study in a southern Brazil incubator UM ESTUDO SOBRE AS INCUBADORAS DE EMPRESAS NO ESTADO DO RIO GRANDE DO SUL UTILIZAÇÃO DA ANALISE ENVOLTÓRIA DE DADOS (DEA) COMO FERRAMENTA DE BENCHMARKING DE EMPRESAS INOVADORAS INTERNACIONALIZADAS;;;;;;;;;;;;;;;;;;;;;;;
84;Valdir Donizete dos Santos Junior;A América Latina em disputa: História e historiografia de uma polêmica A democracia na América: perspectivas francesas sobre o governo de Andrew Jackson nos Estados Unidos da década de 1830 A latinidade e as Luzes: a França, o Oriente e o lugar das Américas nas Lettres sur l?Amérique du Nord, de Michel Chevalier (1836)' Apresentação Duarte da Ponte Ribeiro e a Primeira Missão Diplomática Brasileira no México: Entre a Distância e a Experiência Comum (1834-1835) Musas, máscaras e mitos: as ambiguidades do liberalismo na historiografia sobre o século XIX na América Latina O Bicentenário para além da nação Protestantismo e indústria;;;;;;;;;;;;;;;;;;;;;;;
85;Vanessa Regina Ferreira da Silva;A Literatura Intantil e Juvenil nos Cursos de Letras A velhota cambalhota, de Sylvia Orthof: um novo olhar sobre velhice Autonomia do trabalho docente no Instituto Federal de São Paulo: carreira, reflexões e dilemas atuais;;;;;;;;;;;;;;;;;;;;;;;
86;Whisner Fraga Mamede;Aquisição de sinal cardíaco por fotopletismografia utilizando arduino;;;;;;;;;;;;;;;;;;;;;;;
87;Wilian Ramalho Feitosa;A ATIVIDADE DE ZELADORIA URBANA E A INCIDÊNCIA DE PROPAGANDA IRREGULAR EM POSTES DE ILUMINAÇÃO ? UM ESTUDO EXPLORATÓRIO A atividade de zeladoria urbana e a incidência de propaganda irregular em postes de iluminação ? Um estudo exploratório A case study about services quality evaluation in a logistics company A CASE STUDY ABOUT SERVICES QUALITY IN A COMPANY OF IT AUTOMATION BANK SERVICES A implantação da gestão de facilities em um Centro de Distribuição: um estudo de caso A interação de clientes em uma ação promocional digital - o caso da campanha Monopoly do McDonalds A quasi-experimental approach to analyzing sexual appeal and gender in advertising ? evidences from Brazil A RELEVÂNCIA DA CULTURA ORGANIZACIONAL NA PREVENÇÃO DA CORRUPÇÃO E NO CULTIVO DE LIDERANÇAS ÉTICAS NAS OPERAÇÕES LOGÍSTICAS A STUDY OF GENERATION Z PERCEPTIONS ABOUT MUSEUMS QUALITY AND E-WOM INTENTIONS ACESSIBILIDADE E LEGISLAÇÃO NO BRASIL ? UM ESTUDO NA CPTM ACESSIBILIDADE E MOBILIDADE URBANA NAS PRINCIPAIS CIDADES INTELIGENTES BRASILEIRAS Advocacy and Online Petitions: A Discussion Based on the Renca Case Advocacy and online Petitions: considerations from the RENCA case and green movements AMPLIAÇÃO DA COMUNICAÇÃO DA DEFESA CIVIL COM MORADORES DA CAPITAL DE SÃO PAULO Are business students more financially literate? Evidence of differences in financial literacy amongst Portuguese college students AS REDES SOCIAIS E A CONSTRUÇÃO DO POSICIONAMENTO DE UM DESTINO TURÍSTICO: UM ESTUDO DE CASO SOBRE A CIDADE DE GUARAREMA E SEUS VISITANTES-DIA Desenvolvimento de um Sistema de Controle de Acesso e Monitoramento IoT para o IFSP - Campus Pirituba Diferencias de Envolvimiento con Productos entre Cohortes: un Estudio Exploratorio EL USO DE LAS REDES SOCIALES PARA POSICIONAR UN DESTINO TURÍSTICO: EL CASO DE LA CIUDAD DE GUARAREMA Y SUS VISITANTES DEL DÍA EL USO DE LAS REDES SOCIALES PARA POSICIONAR UN DESTINO TURÍSTICO: EL CASO DE LA CIUDAD DE GUARAREMA Y SUS VISITANTES DEL DÍA EMOÇÕES NA RELAÇÃO ENTRE VENDEDORES E CONSUMIDORES NA PRESTAÇÃO DE SERVIÇOS FERRAMENTAS DO MARKETING DIGITAL COMO ESTRATÉGIA DE CONSOLIDAÇÃO DE MARCA: UM ESTUDO SOBRE C6 BANK Generation Z and technologies on museums ? Its influence on perceptions about Quality, Arousal and E-WOM Intentions GEOANALYTICS APLICADO AO CONCEITO DE CIDADES INTELIGENTES GOVERNANÇA DIGITAL E A TRANSPARÊNCIA EM LICITAÇÕES E CONTRATOS: UM ESTUDO DE CASO NA CIDADE DE SÃO PAULO GREEN GENTRIFICATION - ITS CHARACTERISTICS AND FUTURE PERSPECTIVES How Social Media Can Contribute to Wellbeing Amongst Autists and Their Families ? A Study based on Virtual Communities Content How to increase engagement on social media using the honeycomb model O INSTRUMENTO DO MICROCRÉDITO: LEALDADE DO CLIENTE E IMPACTOS SOCIAIS O marketing na era digital: análise de dados no foco O PAPEL DAS REDES SOCIAIS NA MOBILIZAÇÃO PARA EMISSÃO DE TÍTULOS ELEITORAIS NA FAIXA ETÁRIA DE 16 ANOS O PAPEL DOS VENDEDORES E MUDANÇAS NO VAREJO NO CONTEXTO OMNICHANNEL O papel dos vendedores no varejo no contexto omnichannel ? Um estudo de caso em uma loja de sapatos Online brand content sharing on social networks ? an experiment assessing the role of emotions on news and advertising online sharing Online brand content sharing on social networks ? an experiment comparing advertisement and news Operacionalização do Atendimento no Pronto-Socorro: Um Estudo de Caso em um Hospital Público-Privado Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea POLÍTICAS EDUCACIONAIS NA PERSPECTIVA DA EDUCAÇÃO ESPECIAL: PROPOSTA DE UM PORTAL PARA GESTÃO DE ALTAS HABILIDADES E SUPERDOTAÇÃO PROJETO CATANDO HISTÓRIAS ? INTEGRANDO O CONHECIMENTO SOBRE LOGÍSTICA REVERSA COM A HISTÓRIA DA CIDADE DE SÃO PAULO RADAR DE MUSEUS ? PROMOVENDO ACESSO A CULTURA E COMPREENDENDO A QUALIDADE DE SERVIÇOS Relative share, switching costs, and price policies ? An exploratory study about buying on B2B Revista Inovação Social | ISSN: 2674 - 8185 Volume 6 / Edição Especial / jan. - jun. ? 202 4 www.revistainovacaosocial.com.br 83 O PAPEL DAS REDES SOCIAIS NA MOBILIZAÇÃO PARA EMISSÃO DE TÍTULOS ELEITORAIS NA FAIXA ETÁRIA DE 16 A 18 ANOS NAS ELEIÇÕES DE 2022 The role of salespeople motivation on omnichannel context - A case study in a shoes store UM ESTUDO DE CASO SOBRE A AVALIAÇÃO DA QUALIDADE DE SERVIÇOS EM UMA EMPRESA DE LOGÍSTICA À LUZ DO MODELO SERVQUAL Um estudo de caso sobre a gestão de portfólio de projetos por meio de um escritório de projetos ? o caso da TECBAN UM ESTUDO DE CASO SOBRE A QUALIDADE NA PRESTAÇÃO DE SERVIÇOS EM UMA EMPRESA DE AUTOMAÇÃO BANCARIA, AUTOMAÇÃO COMERCIAL E SERVIÇOS DE TI Using the Honeycomb model to analyse engagement on social media ? a case study of a Portuguese company;;;;;;;;;;;;;;;;;;;;;;;
88;William Rosseti;A RELAÇÃO ENTRE O CONSUMO DE ALIMENTOS NOS ESTADOS BRASILEIROS COM A FORMAÇÃO ANTROPOMÉTRICA NO BRASIL ACESSIBILIDADE E LEGISLAÇÃO NO BRASIL ? UM ESTUDO NA CPTM ACESSIBILIDADE E MOBILIDADE URBANA NAS PRINCIPAIS CIDADES INTELIGENTES BRASILEIRAS ANÁLISE DA OFERTA DE ALIMENTOS MINIMAMENTE PROCESSADOS E ULTRAPROCESSADOS NA REGIÃO DA VILA PIRITUBA COMO A LOGÍSTICA REVERSA PODE AMENIZAR O DESCARTE INDEVIDO DE RESÍDUOS DE MODA DA INDÚSTRIA TÊXTIL FERRAMENTAS DO MARKETING DIGITAL COMO ESTRATÉGIA DE CONSOLIDAÇÃO DE MARCA: UM ESTUDO SOBRE C6 BANK GESTÃO DE DOCUMENTOS E A SUA IMPORTÂNCIA NO GERENCIAMENTO DE PROJETOS Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea PROJETO CATANDO HISTÓRIAS ? INTEGRANDO O CONHECIMENTO SOBRE LOGÍSTICA REVERSA COM A HISTÓRIA DA CIDADE DE SÃO PAULO RISCO ENERGÉTICO NAS CIDADES: AUMENTANDO A RESILIÊNCIA PELO CONTROLE DAS OPERAÇÕES Transporte público e mobilidade na cidade de São Paulo: perspectivas da comunidade do IFSP - Pirituba;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
